"OldSource","CurrentSameName","ReviewStatus"
"HavenResourceLedger.cs","","No same-name custom source; check renamed or native equivalent"
"HavenRunePouch.cs","HavenRunePouch.cs","Candidate counterpart; behavior comparison required"
"HavenScalis.cs","","No same-name custom source; check renamed or native equivalent"
"HavenScalisHunt.cs","","No same-name custom source; check renamed or native equivalent"
"HavenScalisLoot.cs","","No same-name custom source; check renamed or native equivalent"
"HavenSeaNavigation.cs","","No same-name custom source; check renamed or native equivalent"
"HavenShadowActor.cs","","No same-name custom source; check renamed or native equivalent"
"HavenShadowguard.cs","HavenShadowguard.cs","Candidate counterpart; behavior comparison required"
"HavenShadowPuzzles.cs","","No same-name custom source; check renamed or native equivalent"
"HavenShadowScenery.cs","","No same-name custom source; check renamed or native equivalent"
"HavenShieldWarriorGear.cs","HavenShieldWarriorGear.cs","Candidate counterpart; behavior comparison required"
"HavenSignatureField.cs","HavenSignatureField.cs","Candidate counterpart; behavior comparison required"
"HavenSnowBear.cs","","No same-name custom source; check renamed or native equivalent"
"HavenSnowBearDen.cs","HavenSnowBearDen.cs","Candidate counterpart; behavior comparison required"
"HavenSovereigns.cs","HavenSovereigns.cs","Candidate counterpart; behavior comparison required"
"HavenSovereignStore.cs","","No same-name custom source; check renamed or native equivalent"
"HavenSpecialEquipment.cs","","No same-name custom source; check renamed or native equivalent"
"HavenStarterSash.cs","","No same-name custom source; check renamed or native equivalent"
"HavenStorageMenu.cs","","No same-name custom source; check renamed or native equivalent"
"HavenStormscaleAI.cs","HavenStormscaleAI.cs","Candidate counterpart; behavior comparison required"
"HavenTamingMissions.cs","","No same-name custom source; check renamed or native equivalent"
"HavenTideCargoGump.cs","HavenTideCargoGump.cs","Candidate counterpart; behavior comparison required"
"HavenTideSteed.cs","HavenTideSteed.cs","Candidate counterpart; behavior comparison required"
"HavenTideSteedDeed.cs","HavenTideSteedDeed.cs","Candidate counterpart; behavior comparison required"
"HavenTithing.cs","","No same-name custom source; check renamed or native equivalent"
"HavenTrainingRewards.cs","","No same-name custom source; check renamed or native equivalent"
"HavenTrainingSentinel.cs","","No same-name custom source; check renamed or native equivalent"
"HavenTrainingSupplies.cs","","No same-name custom source; check renamed or native equivalent"
"HavenTravelGump.cs","HavenTravelGump.cs","Candidate counterpart; behavior comparison required"
"HavenTreasureSites.cs","HavenTreasureSites.cs","Candidate counterpart; behavior comparison required"
"HavenTrialParticipants.cs","","No same-name custom source; check renamed or native equivalent"
"HavenTrialTheme.cs","","No same-name custom source; check renamed or native equivalent"
"HavenUpgradeGump.cs","","No same-name custom source; check renamed or native equivalent"
"HavenWalletGump.cs","","No same-name custom source; check renamed or native equivalent"
"HavenWanderingEncounters.cs","HavenWanderingEncounters.cs","Candidate counterpart; behavior comparison required"
"HavenWeaponManaSustain.cs","","No same-name custom source; check renamed or native equivalent"
"HavenWorldDiscoveries.cs","HavenWorldDiscoveries.cs","Candidate counterpart; behavior comparison required"
"HavenWorldPopulation.cs","","No same-name custom source; check renamed or native equivalent"
"OfflineTravelBook.cs","","No same-name custom source; check renamed or native equivalent"
"PetShrinking.cs","","No same-name custom source; check renamed or native equivalent"
"ProgressionStorage.cs","","No same-name custom source; check renamed or native equivalent"
"SpecialBracelets.cs","","No same-name custom source; check renamed or native equivalent"
"StarterBundleClaims.cs","","No same-name custom source; check renamed or native equivalent"
"StarterItems.cs","","No same-name custom source; check renamed or native equivalent"
"VampiricSteed.cs","","No same-name custom source; check renamed or native equivalent"
